pipeID,Shape_length
KQD0859008,30.31828616
KQD0859009,9.899617403
KQD0859010,21.68883611
KQD0859011,9.845655592
KQD0859012,28.06490403
KQD0859013,29.98558653
KQD0859014,41.69247062
KQD0859015,12.11601505
KQD0859016,17.30670681
KQD0859017,15.59886701
KQD0859018,13.56743024
KQD0859019,49.45497419
KQD0859020,50.13812244
KQD0859021,24.83407203
KQD0859022,17.6149501
KQD0869001,49.83322937
KQD0869002,42.2623128
KQD0869003,17.60758737
KQD0869004,16.62275617
KQD0869005,5.464005487
KQD0869006,49.70671882
KQD0869007,50.87134459
KQD0869008,49.97274542
KQD0869009,36.82220922
KQD0869010,16.38484211
KQD0869011,17.0833549
KQD0869012,35.84162792
KQD0869013,30.29480584
KQD0869014,29.95742492
KQD0869015,14.15064316
KQD0869016,42.16985447
KQD0869017,26.13427878
KQD0869018,29.6524546
KQD0869019,33.90007614
KQD0869020,20.00873238
KQD0869021,13.10744965
KQD0869022,7.070225674
KQD0869023,49.96484867
KQD0869024,50.09189259
KQD0869025,15.09265019
KQD0869026,6.128989715
KQD0869027,20.49885486
KQD0869028,12.82591087
KQD0869029,37.15020928
KQD0869030,35.64136898
KQD0869031,21.71492091
KQD0869032,33.62068939
KQD0869033,9.928363875
KQD0869034,30.66994758
KQD0869035,26.879532
KQD0869036,13.98285084
KQD0869037,8.890776109
KQD0869039,39.83564781
KQD0869040,39.74923833
KQD0879001,27.94590312
KQD0879002,10.82677529
KQD0879003,39.54670848
KQD0879004,13.30820616
KQD0879005,10.16261186
KQD0879006,20.83569449
KQD0879007,18.45863891
KQD0879008,21.93239468
KQD0879009,26.37925347
KQD0879010,17.92091428
KQD0879011,49.99660653
KQD0879012,49.99557588
KQD0879013,48.82685193
KQD0888001,29.93627974
KQD0889001,35.56927489
KQD0889002,18.50894866
KQD0889003,5.564819333
KQD0889004,35.44345369
KQD0898001,25.82507543
KQD0898002,21.94392091
KQD0898003,29.95813628
KQD0898004,21.77303774
KQD0898005,30.08917572
KQD0898006,26.12962764
KQD0898007,25.95624517
KQD0898008,29.93077143
KQD0898009,29.9143416
KQD0898010,63.73710066
KQD0898011,65.55308716
KQD0898012,19.67189034
KQD0898013,9.612152019
KQD0898014,10.24050279
KQD0898015,18.16002271
KQD0899001,29.93964134
KQD0899002,33.90361568
KQD0899003,37.82076969
KQD0899004,48.50272289
KQD0899005,49.9067657
KQD0899006,22.40896937
KQD0899007,29.99375038
KQD0899008,7.283817188
KQD0899009,2.101560457
KQD0899010,33.98085916
KQD0899011,13.85021474
KQD0899012,9.946558648
KQD0899013,27.98621052
KQD0899014,43.76180379
KQD0899015,48.9056538
KQD0899016,35.86159062
KQD0899018,24.04818487
KQD0899019,6.883589984
KQD0899022,29.90227394
KQD0899023,33.9164323
KQD0899024,5.528952833
KQD0899028,57.83721768
KQD0899029,57.797802
KQD0899030,14.85423596
KQD0899031,11.26475095
KQD0899032,25.93477575
KQD0899033,30.96264327
KQD0899034,25.9360515
KQD0899035,37.79290643
KQD0899036,12.18945798
KQD0899037,49.88365166
KQD0899038,27.85259329
KQD0900001,46.04704146
KQD0900002,13.63522302
KQD0910001,25.73971334
KQD0910002,16.57816536
KQD0910003,10.84393448
KQD0910004,11.56671633
KQD0910005,9.728990216
KQD0910006,28.57233999
KQD0910007,49.89388014
KQD0910008,49.82841321
KQD0910009,49.55849462
KQD0910010,30.42952627
KQD0910011,20.07862458
KQD0910012,7.053054165
KQD0910013,31.90289977
KQD0910014,25.88489726
KQD0910015,17.8427175
KQD0910016,25.50890026
KQD0910017,18.09829503
KQD0910018,13.24675631
KQD0910019,29.44702683
KQD0910020,27.65662311
KQD0910021,36.23856934
KQD0910022,42.86219093
KQD0910023,44.87013075
KQD0910024,30.3952563
KQD0910025,33.95266391
KQD0910026,29.58629822
KQD0920001,31.83009184
KQD0920002,37.72023875
KQD0920003,144.9156252
KQD0920004,24.58310199
KQD0920005,49.83642712
KQD0920006,37.88584369
KQD0920007,37.97075337
KQD0920008,49.91100188
KQD0920009,50.11782828
KQD0920010,28.95419646
KQD0920011,42.03637569
KQD0920012,41.70159532
KQD0920013,9.877185251
KQD0920014,19.9812294
KQD0920015,10.1889817
KQD0920016,18.82157516
KQD0930001,22.42667247
KQD0930002,5.565393527
KQD0930003,18.29684445
KQD0930004,42.62286251
KQD0930005,24.93988624
KQD0930006,25.66466015
KQD0930007,13.85885338
KQD0930008,37.52572352
KQD0930009,49.58996987
KQD0930010,49.52349342
KQD0930011,34.09169952
KQD0930012,41.69867592
KQD0930013,49.99412624
KQD0930014,9.126200458
KQD0930015,20.86690558
KQD0930016,49.38740467
KQD0940001,17.52435024
KQD0940002,17.59312615
KQD0940003,26.41730008
KQD0940004,49.64928765
KQD0940005,46.89767853
KQD0940006,33.31144332
KQD0940007,37.72243414
KQD0940008,28.89496643
KQD0940009,19.6514878
KQD0940010,32.08206202
KQD0940011,25.04867553
KQD0940012,46.08515979
KQD0940013,37.08583212
KQD0940014,25.52135502
KQD0950001,15.13622649
KQD0950002,30.78909462
KQD0950003,22.25750569
KQD0950004,21.03219126
KQD0950005,14.11872107
KQD0950006,37.99219669
KQD0950007,49.97842271
KQD0950008,50.33989216
KQD0950009,31.97725894
KQD0950010,26.76059147
KQD0950011,44.64661715
KQD0950012,50.09701118
KQD0869038,21.82508769
KQD0960001,40.87427356
KQD0960002,39.39114222
KQD0960003,10.02018247
KQD0960004,6.674068913
KQD0960005,38.09282416
KQD0960006,29.76106846
KQD0960007,32.50166178
KQD0960008,25.92053122
KQD0960009,65.81488192
KQD0960010,65.24378238
KQD0960011,29.82122807
KQD0960012,25.67593189
KQD0960013,5.4660357
KQD0960014,11.77975889
KQD0960015,10.22350841
KQD0960016,15.11670776
KQD0960017,14.17933815
KQD0960018,17.66816749
KQD0970001,49.52256835
