upMH,SUM_Area
JQD0998021,247.8331062
JQD0998022,26.40368315
JQD0998023,240.5025163
JQD0998024,373.0697193
JQD0998026,211.4671302
JQD0998027,312.5687682
JQD0998028,161.1285925
JQD0998029,112.8636262
JQD0998030,448.6409232
JQD0998031,114.6983451
JQD0998032,272.3797096
JQD0998033,312.1767511
JQD0998034,281.2733252
JQD0998035,187.9693904
JQD0998036,110.3537474
JQD0998037,398.4919765
JQD0998038,126.5218028
JQD0998039,322.3258503
JQD0998040,405.6074882
JQD0998041,77.38154047
JQD0998042,220.0373677
JQD0998043,
JQD0998044,3.55344249
JQD0998045,193.9214527
JQD0998046,157.9889913
JQD0998047,92.12486626
JQD0998048,430.0649171
JQD0998049,494.1338579
JQD0998050,137.8727157
JQD0998051,235.7757553
JQD0998052,473.7925724
JQD0998053,810.3710447
JQD0998054,591.357276
JQD0998055,370.1423947
JQD0998056,414.3714505
JQD0998057,490.0458948
JQD0998058,446.7151578
JQD0998059,533.3088922
JQD0998060,271.2473324
JQD0998061,495.5524055
JQD0998062,479.7665519
JQD0998063,519.9028363
JQD0998064,438.2335158
JQD0998065,275.0593217
JQD0998066,350.4585854
JQD0998067,135.7442403
JQD0998068,489.0851677
JQD0998069,451.8933112
JQD0998070,594.0900224
JQD0998071,313.039338
JQD0998072,391.1872542
JQD0998073,439.798369
JQD0998074,278.3994262
JQD0998075,357.8075918
JQD0998076,354.9480731
JQD0998077,167.7014149
JQD0998078,550.5846188
JQD0998079,643.6007165
JQD0998080,773.9329002
JQD1809001,
JQD1809002,
JQD1809003,540.0651899
JQD1809004,
JQD1809005,
JQD1809006,
JQD1809007,
JQD1809008,
JQD1809009,36.45013137
JQD1867001,209.3869924
JQD1867002,255.0592281
JQD1867003,297.9046363
JQD1867004,268.2800473
JQD1867005,213.8845933
JQD1867006,240.2162665
JQD1868001,88.94117456
JQD1868002,
JQD1868003,131.3398852
JQD1868004,207.5991437
JQD1868005,
JQD1868006,
JQD1868007,
JQD1868008,
JQD1868009,
JQD1868010,
JQD1868011,
JQD1868012,
JQD1868013,
JQD1868014,98.93903319
JQD1868015,255.1672661
JQD1868016,241.1376573
JQD1868017,128.5423608
JQD1868018,
JQD1868019,
JQD1868020,
JQD1868021,12.88785186
JQD1868022,156.5020537
JQD1868023,122.4691793
JQD1869001,3.743908975
JQD1869002,117.4811817
JQD1869003,
JQD1869004,77.43665453
JQD1869005,121.8998396
JQD1869006,121.6141705
JQD1869007,231.4565562
JQD1869008,112.4519465
JQD1869009,126.7865124
JQD1869010,114.7342116
JQD1869011,211.5564771
JQD1869012,248.8130689
JQD1869013,173.3090216
JQD1869014,206.0560248
JQD1869015,277.5144257
JQD1869016,318.8881098
JQD1869017,81.21678905
JQD1869018,176.854739
JQD1869019,20.16772119
JQD1869020,
JQD1869021,
JQD1869022,
JQD1869023,
JQD1869024,
JQD1869025,
JQD1869026,
JQD1869027,
JQD1869028,145.4037743
JQD1869029,114.2461808
JQD1869030,257.2683673
JQD1869031,341.002237
JQD1869032,239.8523841
JQD1869033,376.9202147
JQD1869034,269.8010091
JQD1869035,413.3650685
JQD1869036,228.5199747
JQD1869037,244.0940718
JQD1869038,271.2204396
JQD1869039,139.0827793
JQD1869040,133.6540892
JQD1869041,128.594627
JQD1869042,213.8031935
JQD1869043,273.9096496
JQD1869044,313.3576257
JQD1869045,250.3059283
JQD1869046,88.1714548
JQD1876001,
JQD1876002,
JQD1876003,107.0730929
JQD1876004,114.8457741
JQD1876005,198.9098525
JQD1876006,254.3001034
JQD1876007,77.71910345
JQD1876008,161.4405678
JQD1876009,325.5955589
JQD1876010,209.7496865
JQD1876011,132.3924036
JQD1876012,296.1674463
JQD1876013,276.8926163
JQD1876014,167.3900665
JQD1876015,
JQD1876016,331.2417991
JQD1876017,105.1353023
JQD1876018,246.0835694
JQD1876019,379.6957129
JQD1876020,399.9981172
JQD1876021,83.04596495
JQD1876022,152.3850315
JQD1876023,79.65368723
JQD1876024,265.8917293
JQD1876025,197.2654919
JQD1876026,501.8917558
JQD1876027,650.8956145
JQD1876028,407.7925313
JQD1876029,171.8369249
JQD1876030,176.7282248
JQD1876031,152.5210538
JQD1876032,208.6592415
JQD1876033,82.82619371
JQD1876034,
JQD1876035,94.73641914
JQD1876036,80.83154469
JQD1876037,74.64192512
JQD1876038,178.4935893
JQD1876039,630.763092
JQD1876040,707.0650127
JQD1876041,463.5255166
JQD1876042,358.5933011
JQD1876043,351.0841464
JQD1876044,98.72062474
JQD1876045,56.83425776
JQD1876046,109.6671505
JQD1877001,146.4257155
JQD1877002,338.9680289
JQD1877003,330.0339152
JQD1877004,109.9637022
JQD1877005,209.9098696
JQD1877006,310.7259996
JQD1877007,113.96441
JQD1877008,391.6785024
JQD1877009,401.503361
JQD1877010,315.4852361
JQD1877011,108.0038004
JQD1877012,91.4523709
JQD1877013,191.2140345
JQD1877014,335.0940438
JQD1877015,204.0209868
JQD1877016,156.2493296
JQD1877017,393.1475919
JQD1877018,350.4958233
JQD1877019,136.5680717
JQD1877020,134.1138858
JQD1877021,360.031682
JQD1877022,321.4285284
JQD1877023,101.493006
JQD1877024,299.0267397
JQD1877025,389.0407737
JQD1877026,204.2686357
JQD1877027,400.9909888
JQD1877028,452.682701
JQD1877029,421.6109199
JQD1877030,236.8831272
JQD1877031,138.8689873
JQD1877032,109.5180107
JQD1877033,112.6913653
JQD1877034,208.0078342
JQD1877035,189.1945766
JQD1877036,89.56904107
JQD1877037,103.3440331
JQD1877038,237.0437239
JQD1877039,224.3926793
JQD1877040,199.0071924
JQD1877041,
JQD1877042,
JQD1877043,
JQD1877044,
JQD1877045,114.7184752
JQD1877046,114.3305125
JQD1877047,264.5774118
JQD1877048,268.5024299
JQD1877049,330.272193
JQD1877050,20.74298351
JQD1877051,211.0727898
JQD1877052,91.98073207
JQD1877053,243.4374562
JQD1877054,129.2110954
JQD1877055,120.7005015
JQD1877056,242.5030875
JQD1877057,145.510596
JQD1877058,245.2496094
JQD1877059,172.6370218
JQD1877060,435.4169013
JQD1877061,377.1789343
JQD1877062,391.9387643
JQD1877063,292.1985133
JQD1877064,428.0048831
JQD1877065,437.5115866
JQD1877066,261.1150493
JQD1877067,210.3708663
JQD1877068,411.1155568
JQD1877069,314.806965
JQD1877070,379.478723
